,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2017-01-01 00:00:00,2017,1,1,0,30,0,0,0,3.1,1.0,163.63
2017-01-01 01:00:00,2017,1,1,1,30,0,0,0,2.8000000000000003,0.0,157.0
2017-01-01 02:00:00,2017,1,1,2,30,0,0,0,2.5,0.0,146.68
2017-01-01 03:00:00,2017,1,1,3,30,0,0,0,2.4000000000000004,0.0,135.27
2017-01-01 04:00:00,2017,1,1,4,30,0,0,0,2.3000000000000003,0.0,123.61
2017-01-01 05:00:00,2017,1,1,5,30,0,0,0,2.1,0.0,112.06
2017-01-01 06:00:00,2017,1,1,6,30,0,0,0,1.9,0.0,100.88
2017-01-01 07:00:00,2017,1,1,7,30,0,0,0,1.8,1.0,90.33
2017-01-01 08:00:00,2017,1,1,8,30,101,59,261,2.0,3.0,80.74
2017-01-01 09:00:00,2017,1,1,9,30,221,110,369,2.0,5.0,72.54
2017-01-01 10:00:00,2017,1,1,10,30,313,138,436,2.1,8.0,66.29
2017-01-01 11:00:00,2017,1,1,11,30,460,99,785,2.2,9.0,62.61
2017-01-01 12:00:00,2017,1,1,12,30,404,142,558,1.9,10.0,61.96
2017-01-01 13:00:00,2017,1,1,13,30,349,143,476,1.5,10.0,64.45
2017-01-01 14:00:00,2017,1,1,14,30,331,75,738,1.0,10.0,69.72
2017-01-01 15:00:00,2017,1,1,15,30,190,58,593,0.7000000000000001,9.0,77.19
2017-01-01 16:00:00,2017,1,1,16,30,41,24,257,1.0,6.0,86.28
2017-01-01 17:00:00,2017,1,1,17,30,0,0,0,1.2000000000000002,4.0,96.48
2017-01-01 18:00:00,2017,1,1,18,30,0,0,0,1.4,3.0,107.44
2017-01-01 19:00:00,2017,1,1,19,30,0,0,0,1.5,3.0,118.86
2017-01-01 20:00:00,2017,1,1,20,30,0,0,0,1.6,3.0,130.51
2017-01-01 21:00:00,2017,1,1,21,30,0,0,0,1.8,3.0,142.07
2017-01-01 22:00:00,2017,1,1,22,30,0,0,0,1.8,3.0,152.99
2017-01-01 23:00:00,2017,1,1,23,30,0,0,0,1.8,3.0,161.63
2017-01-02 00:00:00,2017,1,2,0,30,0,0,0,1.9,4.0,163.57
2017-01-02 01:00:00,2017,1,2,1,30,0,0,0,2.0,4.0,157.01
2017-01-02 02:00:00,2017,1,2,2,30,0,0,0,2.1,4.0,146.71
2017-01-02 03:00:00,2017,1,2,3,30,0,0,0,2.3000000000000003,4.0,135.31
2017-01-02 04:00:00,2017,1,2,4,30,0,0,0,2.7,3.0,123.65
2017-01-02 05:00:00,2017,1,2,5,30,0,0,0,3.2,3.0,112.1
2017-01-02 06:00:00,2017,1,2,6,30,0,0,0,3.6,3.0,100.91
2017-01-02 07:00:00,2017,1,2,7,30,0,0,0,3.7,3.0,90.35
2017-01-02 08:00:00,2017,1,2,8,30,23,23,0,3.6,4.0,80.74
2017-01-02 09:00:00,2017,1,2,9,30,53,53,0,3.5,4.0,72.52
2017-01-02 10:00:00,2017,1,2,10,30,32,32,0,3.4000000000000004,5.0,66.25
2017-01-02 11:00:00,2017,1,2,11,30,90,90,0,3.4000000000000004,5.0,62.54
2017-01-02 12:00:00,2017,1,2,12,30,86,86,0,3.6,6.0,61.87000000000001
2017-01-02 13:00:00,2017,1,2,13,30,77,77,0,3.8,6.0,64.33
2017-01-02 14:00:00,2017,1,2,14,30,56,56,0,4.0,5.0,69.59
2017-01-02 15:00:00,2017,1,2,15,30,32,32,0,3.9,5.0,77.06
2017-01-02 16:00:00,2017,1,2,16,30,7,7,0,3.9,5.0,86.14
2017-01-02 17:00:00,2017,1,2,17,30,0,0,0,3.9,5.0,96.34
2017-01-02 18:00:00,2017,1,2,18,30,0,0,0,4.0,5.0,107.3
2017-01-02 19:00:00,2017,1,2,19,30,0,0,0,3.9,5.0,118.72
2017-01-02 20:00:00,2017,1,2,20,30,0,0,0,3.7,5.0,130.37
2017-01-02 21:00:00,2017,1,2,21,30,0,0,0,3.7,5.0,141.93
2017-01-02 22:00:00,2017,1,2,22,30,0,0,0,3.5,4.0,152.85
2017-01-02 23:00:00,2017,1,2,23,30,0,0,0,2.8000000000000003,4.0,161.5
2017-01-03 00:00:00,2017,1,3,0,30,0,0,0,2.4000000000000004,4.0,163.5
2017-01-03 01:00:00,2017,1,3,1,30,0,0,0,2.3000000000000003,4.0,157.01
2017-01-03 02:00:00,2017,1,3,2,30,0,0,0,2.3000000000000003,4.0,146.74
2017-01-03 03:00:00,2017,1,3,3,30,0,0,0,2.3000000000000003,4.0,135.35
2017-01-03 04:00:00,2017,1,3,4,30,0,0,0,2.7,4.0,123.69
2017-01-03 05:00:00,2017,1,3,5,30,0,0,0,3.0,4.0,112.13
2017-01-03 06:00:00,2017,1,3,6,30,0,0,0,3.2,4.0,100.94
2017-01-03 07:00:00,2017,1,3,7,30,0,0,0,3.2,5.0,90.36
2017-01-03 08:00:00,2017,1,3,8,30,32,32,0,2.5,5.0,80.73
2017-01-03 09:00:00,2017,1,3,9,30,72,72,0,1.9,5.0,72.49
2017-01-03 10:00:00,2017,1,3,10,30,67,67,0,2.1,6.0,66.2
2017-01-03 11:00:00,2017,1,3,11,30,19,19,0,2.3000000000000003,6.0,62.46
2017-01-03 12:00:00,2017,1,3,12,30,29,29,0,1.7000000000000002,7.0,61.76
2017-01-03 13:00:00,2017,1,3,13,30,37,37,0,0.7000000000000001,6.0,64.2
2017-01-03 14:00:00,2017,1,3,14,30,307,95,605,0.5,6.0,69.45
2017-01-03 15:00:00,2017,1,3,15,30,175,71,456,0.6000000000000001,6.0,76.91
2017-01-03 16:00:00,2017,1,3,16,30,38,27,145,0.6000000000000001,5.0,85.99
2017-01-03 17:00:00,2017,1,3,17,30,0,0,0,0.9,5.0,96.2
2017-01-03 18:00:00,2017,1,3,18,30,0,0,0,1.1,5.0,107.15
2017-01-03 19:00:00,2017,1,3,19,30,0,0,0,1.2000000000000002,5.0,118.58
2017-01-03 20:00:00,2017,1,3,20,30,0,0,0,1.4,5.0,130.22
2017-01-03 21:00:00,2017,1,3,21,30,0,0,0,1.7000000000000002,5.0,141.79
2017-01-03 22:00:00,2017,1,3,22,30,0,0,0,1.8,5.0,152.70000000000005
2017-01-03 23:00:00,2017,1,3,23,30,0,0,0,1.8,5.0,161.36
2017-01-04 00:00:00,2017,1,4,0,30,0,0,0,2.0,5.0,163.42000000000004
2017-01-04 01:00:00,2017,1,4,1,30,0,0,0,2.3000000000000003,5.0,157.0
2017-01-04 02:00:00,2017,1,4,2,30,0,0,0,2.8000000000000003,5.0,146.76
2017-01-04 03:00:00,2017,1,4,3,30,0,0,0,3.3000000000000003,5.0,135.38
2017-01-04 04:00:00,2017,1,4,4,30,0,0,0,3.3000000000000003,5.0,123.72
2017-01-04 05:00:00,2017,1,4,5,30,0,0,0,3.2,5.0,112.16
2017-01-04 06:00:00,2017,1,4,6,30,0,0,0,2.9000000000000004,5.0,100.96
2017-01-04 07:00:00,2017,1,4,7,30,0,0,0,2.8000000000000003,5.0,90.36
2017-01-04 08:00:00,2017,1,4,8,30,22,22,0,3.0,7.0,80.72
2017-01-04 09:00:00,2017,1,4,9,30,48,48,0,3.9,9.0,72.46000000000002
2017-01-04 10:00:00,2017,1,4,10,30,130,130,0,5.1000000000000005,10.0,66.14
2017-01-04 11:00:00,2017,1,4,11,30,364,172,414,5.9,11.0,62.37000000000001
2017-01-04 12:00:00,2017,1,4,12,30,465,74,822,6.300000000000002,11.0,61.65
2017-01-04 13:00:00,2017,1,4,13,30,453,70,874,6.6000000000000005,10.0,64.07000000000001
2017-01-04 14:00:00,2017,1,4,14,30,359,58,851,6.6000000000000005,9.0,69.31
2017-01-04 15:00:00,2017,1,4,15,30,217,44,757,6.0,7.0,76.76
2017-01-04 16:00:00,2017,1,4,16,30,55,21,469,5.5,5.0,85.84
2017-01-04 17:00:00,2017,1,4,17,30,0,0,0,5.4,3.0,96.05
2017-01-04 18:00:00,2017,1,4,18,30,0,0,0,5.4,1.0,107.01
2017-01-04 19:00:00,2017,1,4,19,30,0,0,0,5.2,0.0,118.43
2017-01-04 20:00:00,2017,1,4,20,30,0,0,0,5.0,0.0,130.08
2017-01-04 21:00:00,2017,1,4,21,30,0,0,0,4.6000000000000005,0.0,141.64
2017-01-04 22:00:00,2017,1,4,22,30,0,0,0,4.1000000000000005,-1.0,152.55
2017-01-04 23:00:00,2017,1,4,23,30,0,0,0,3.6,-2.0,161.21
2017-01-05 00:00:00,2017,1,5,0,30,0,0,0,3.0,-3.0,163.33
2017-01-05 01:00:00,2017,1,5,1,30,0,0,0,2.9000000000000004,-3.0,156.98
2017-01-05 02:00:00,2017,1,5,2,30,0,0,0,2.8000000000000003,-3.0,146.77
2017-01-05 03:00:00,2017,1,5,3,30,0,0,0,2.6,-3.0,135.4
2017-01-05 04:00:00,2017,1,5,4,30,0,0,0,2.4000000000000004,-2.0,123.75
2017-01-05 05:00:00,2017,1,5,5,30,0,0,0,2.2,-2.0,112.18
2017-01-05 06:00:00,2017,1,5,6,30,0,0,0,1.9,-2.0,100.97
2017-01-05 07:00:00,2017,1,5,7,30,0,0,0,2.0,-1.0,90.36
2017-01-05 08:00:00,2017,1,5,8,30,52,52,0,2.4000000000000004,0.0,80.7
2017-01-05 09:00:00,2017,1,5,9,30,111,109,7,2.4000000000000004,0.0,72.42
2017-01-05 10:00:00,2017,1,5,10,30,205,172,80,2.3000000000000003,0.0,66.07000000000001
2017-01-05 11:00:00,2017,1,5,11,30,359,177,391,2.5,0.0,62.28
2017-01-05 12:00:00,2017,1,5,12,30,265,212,110,2.4000000000000004,0.0,61.53
2017-01-05 13:00:00,2017,1,5,13,30,249,193,127,2.3000000000000003,0.0,63.93
2017-01-05 14:00:00,2017,1,5,14,30,140,134,16,2.2,0.0,69.16
2017-01-05 15:00:00,2017,1,5,15,30,81,81,0,1.5,0.0,76.61
2017-01-05 16:00:00,2017,1,5,16,30,19,19,0,0.9,0.0,85.69
2017-01-05 17:00:00,2017,1,5,17,30,0,0,0,0.9,-1.0,95.9
2017-01-05 18:00:00,2017,1,5,18,30,0,0,0,1.1,-1.0,106.86
2017-01-05 19:00:00,2017,1,5,19,30,0,0,0,1.1,-1.0,118.28
2017-01-05 20:00:00,2017,1,5,20,30,0,0,0,1.0,0.0,129.93
2017-01-05 21:00:00,2017,1,5,21,30,0,0,0,0.8,0.0,141.49
2017-01-05 22:00:00,2017,1,5,22,30,0,0,0,0.8,0.0,152.4
2017-01-05 23:00:00,2017,1,5,23,30,0,0,0,0.7000000000000001,0.0,161.06
2017-01-06 00:00:00,2017,1,6,0,30,0,0,0,0.7000000000000001,-1.0,163.23
2017-01-06 01:00:00,2017,1,6,1,30,0,0,0,0.8,-1.0,156.96
2017-01-06 02:00:00,2017,1,6,2,30,0,0,0,1.6,-1.0,146.78
2017-01-06 03:00:00,2017,1,6,3,30,0,0,0,2.5,-1.0,135.42000000000002
2017-01-06 04:00:00,2017,1,6,4,30,0,0,0,2.8000000000000003,-1.0,123.77
2017-01-06 05:00:00,2017,1,6,5,30,0,0,0,2.5,-2.0,112.2
2017-01-06 06:00:00,2017,1,6,6,30,0,0,0,2.4000000000000004,-3.0,100.98
2017-01-06 07:00:00,2017,1,6,7,30,0,0,0,3.2,-2.0,90.35
2017-01-06 08:00:00,2017,1,6,8,30,123,56,419,4.1000000000000005,-1.0,80.68
2017-01-06 09:00:00,2017,1,6,9,30,235,88,486,4.3,0.0,72.37
2017-01-06 10:00:00,2017,1,6,10,30,353,104,610,4.2,0.0,65.99
2017-01-06 11:00:00,2017,1,6,11,30,381,161,472,4.1000000000000005,0.0,62.17
2017-01-06 12:00:00,2017,1,6,12,30,376,180,410,4.0,0.0,61.4
2017-01-06 13:00:00,2017,1,6,13,30,332,169,367,3.9,0.0,63.79
2017-01-06 14:00:00,2017,1,6,14,30,251,148,286,3.7,-1.0,69.0
2017-01-06 15:00:00,2017,1,6,15,30,149,91,245,3.2,-2.0,76.45
2017-01-06 16:00:00,2017,1,6,16,30,38,28,121,2.4000000000000004,-3.0,85.53
2017-01-06 17:00:00,2017,1,6,17,30,0,0,0,2.3000000000000003,-3.0,95.74
2017-01-06 18:00:00,2017,1,6,18,30,0,0,0,2.9000000000000004,-3.0,106.7
2017-01-06 19:00:00,2017,1,6,19,30,0,0,0,3.0,-3.0,118.13
2017-01-06 20:00:00,2017,1,6,20,30,0,0,0,3.1,-3.0,129.78
2017-01-06 21:00:00,2017,1,6,21,30,0,0,0,3.5,-3.0,141.33
2017-01-06 22:00:00,2017,1,6,22,30,0,0,0,3.8,-3.0,152.24
2017-01-06 23:00:00,2017,1,6,23,30,0,0,0,3.9,-4.0,160.9
2017-01-07 00:00:00,2017,1,7,0,30,0,0,0,4.0,-4.0,163.13
2017-01-07 01:00:00,2017,1,7,1,30,0,0,0,4.1000000000000005,-4.0,156.92000000000004
2017-01-07 02:00:00,2017,1,7,2,30,0,0,0,4.3,-4.0,146.78
2017-01-07 03:00:00,2017,1,7,3,30,0,0,0,4.4,-5.0,135.44
2017-01-07 04:00:00,2017,1,7,4,30,0,0,0,4.5,-5.0,123.78
2017-01-07 05:00:00,2017,1,7,5,30,0,0,0,4.7,-5.0,112.21
2017-01-07 06:00:00,2017,1,7,6,30,0,0,0,4.6000000000000005,-5.0,100.98
2017-01-07 07:00:00,2017,1,7,7,30,0,0,0,4.2,-5.0,90.34
2017-01-07 08:00:00,2017,1,7,8,30,84,64,125,4.2,-5.0,80.65
2017-01-07 09:00:00,2017,1,7,9,30,188,119,228,4.7,-4.0,72.32000000000002
2017-01-07 10:00:00,2017,1,7,10,30,25,25,0,5.300000000000002,-4.0,65.91
2017-01-07 11:00:00,2017,1,7,11,30,16,16,0,5.800000000000002,-3.0,62.06
2017-01-07 12:00:00,2017,1,7,12,30,125,125,0,6.0,-3.0,61.26
2017-01-07 13:00:00,2017,1,7,13,30,127,127,0,6.1000000000000005,-3.0,63.64
2017-01-07 14:00:00,2017,1,7,14,30,65,65,0,6.0,-4.0,68.84
2017-01-07 15:00:00,2017,1,7,15,30,223,62,682,5.800000000000002,-4.0,76.29
2017-01-07 16:00:00,2017,1,7,16,30,59,28,392,5.300000000000002,-4.0,85.37
2017-01-07 17:00:00,2017,1,7,17,30,0,0,0,4.800000000000002,-5.0,95.58
2017-01-07 18:00:00,2017,1,7,18,30,0,0,0,4.7,-6.0,106.55
2017-01-07 19:00:00,2017,1,7,19,30,0,0,0,4.800000000000002,-6.0,117.98
2017-01-07 20:00:00,2017,1,7,20,30,0,0,0,4.7,-7.0,129.62
2017-01-07 21:00:00,2017,1,7,21,30,0,0,0,4.9,-7.0,141.18
2017-01-07 22:00:00,2017,1,7,22,30,0,0,0,5.300000000000002,-7.0,152.08
2017-01-07 23:00:00,2017,1,7,23,30,0,0,0,5.7,-7.0,160.74
