Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1143431,-,-,-,38.89,-77.1,0,78,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,
2018,1,1,0,30,0,0,0,-14.5,-8.9,1020,328,3.1,0.12,N/A
2018,1,1,1,30,0,0,0,-14.5,-9.3,1020,331,3,0.12,N/A
2018,1,1,2,30,0,0,0,-14.5,-9.600000000000001,1020,333,2.9000000000000004,0.12,N/A
2018,1,1,3,30,0,0,0,-14.5,-9.9,1020,334,2.7,0.12,N/A
2018,1,1,4,30,0,0,0,-14.3,-10.3,1021,333,2.4000000000000004,0.12,N/A
2018,1,1,5,30,0,0,0,-14.100000000000001,-10.600000000000001,1021,333,2.3000000000000003,0.12,N/A
2018,1,1,6,30,0,0,0,-14,-10.8,1022,334,2.4000000000000004,0.12,N/A
2018,1,1,7,30,0,0,0,-13.9,-10.9,1022,335,2.6,0.12,N/A
2018,1,1,8,30,0,0,0,-14,-11,1022,336,2.7,0.12,N/A
2018,1,1,9,30,0,0,0,-14.200000000000001,-11.100000000000001,1022,334,2.6,0.12,N/A
2018,1,1,10,30,0,0,0,-14.4,-11.3,1023,330,2.2,0.12,N/A
2018,1,1,11,30,0,0,0,-14.600000000000001,-11.5,1023,324,1.9000000000000001,0.12,N/A
2018,1,1,12,30,8,88,8,-14.700000000000001,-10.700000000000001,1023,316,2.2,0.12,N/A
2018,1,1,13,30,48,437,119,-15,-8.9,1024,314,2.9000000000000004,0.12,N/A
2018,1,1,14,30,56,832,306,-15.8,-7.4,1024,319,3.5,0.12,N/A
2018,1,1,15,30,75,830,409,-16.6,-6.5,1024,320,3.8000000000000003,0.12,N/A
2018,1,1,16,30,135,556,391,-16.7,-6,1023,316,3.9000000000000004,0.12,N/A
2018,1,1,17,30,166,119,222,-16.6,-5.6000000000000005,1022,310,4,0.12,N/A
2018,1,1,18,30,154,358,308,-16.400000000000002,-5.4,1022,305,4,0.12,N/A
2018,1,1,19,30,86,612,298,-16.3,-5.4,1022,302,4.1000000000000005,0.12,N/A
2018,1,1,20,30,59,553,182,-16.3,-5.6000000000000005,1022,300,4,0.12,N/A
2018,1,1,21,30,25,233,41,-16.2,-6.2,1022,299,3.9000000000000004,0.12,N/A
2018,1,1,22,30,0,0,0,-15.700000000000001,-7,1023,299,3.6,0.12,N/A
2018,1,1,23,30,0,0,0,-15.4,-7.5,1023,299,3.5,0.12,N/A
2018,1,2,0,30,0,0,0,-15.600000000000001,-8.200000000000001,1024,303,4.3,0.12,N/A
2018,1,2,1,30,0,0,0,-16.2,-8.6,1024,305,4.5,0.12,N/A
