Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1169222,-,-,-,36.69,-76.3,0,5,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,
2008,1,1,0,30,0,0,0,4,5,1020,156,2,0.15,N/A
2008,1,1,1,30,0,0,0,4,5,1020,157,2.3000000000000003,0.15,N/A
2008,1,1,2,30,0,0,0,4,4,1020,157,2.5,0.15,N/A
2008,1,1,3,30,0,0,0,4,4,1020,156,2.5,0.15,N/A
2008,1,1,4,30,0,0,0,4,4,1010,151,2.6,0.15,N/A
2008,1,1,5,30,0,0,0,4,4,1010,146,2.7,0.15,N/A
2008,1,1,6,30,0,0,0,4,5,1010,146,2.8000000000000003,0.15,N/A
2008,1,1,7,30,0,0,0,4,5,1010,152,2.9000000000000004,0.15,N/A
2008,1,1,8,30,0,0,0,6,6,1010,165,2.9000000000000004,0.15,N/A
2008,1,1,9,30,0,0,0,6,6,1010,179,3,0.15,N/A
2008,1,1,10,30,0,0,0,6,6,1010,190,3,0.15,N/A
2008,1,1,11,30,0,0,0,6,6,1010,199,3.1,0.15,N/A
2008,1,1,12,30,12,142,16,7,7,1010,207,3.6,0.15,N/A
2008,1,1,13,30,51,573,162,8,8,1010,216,4.2,0.15,N/A
2008,1,1,14,30,71,736,318,8,10,1010,231,4.6000000000000005,0.15,N/A
2008,1,1,15,30,80,824,440,7,11,1010,250,4.9,0.15,N/A
2008,1,1,16,30,86,857,509,6,12,1010,269,4.9,0.15,N/A
2008,1,1,17,30,87,862,519,4,12,1010,279,5,0.15,N/A
2008,1,1,18,30,79,854,471,3,12,1010,282,5.2,0.15,N/A
2008,1,1,19,30,66,822,369,1,11,1010,284,5.4,0.15,N/A
2008,1,1,20,30,49,725,222,0,10,1010,287,5,0.15,N/A
2008,1,1,21,30,23,432,56,0,7,1010,292,4.6000000000000005,0.15,N/A
2008,1,1,22,30,0,0,0,0,5,1010,296,4.6000000000000005,0.15,N/A
2008,1,1,23,30,0,0,0,-1,4,1010,297,4.7,0.15,N/A
2008,1,2,0,30,0,0,0,-1,4,1010,296,5,0.15,N/A
2008,1,2,1,30,0,0,0,-2,3,1010,296,5.1000000000000005,0.15,N/A
2008,1,2,2,30,0,0,0,-2,2,1010,296,4.6000000000000005,0.15,N/A
2008,1,2,3,30,0,0,0,-2,1,1010,292,4.3,0.15,N/A
2008,1,2,4,30,0,0,0,-2,1,1010,287,4.2,0.15,N/A
2008,1,2,5,30,0,0,0,-3,0,1010,283,4.3,0.15,N/A
2008,1,2,6,30,0,0,0,-3,0,1010,281,4.4,0.15,N/A
2008,1,2,7,30,0,0,0,-3,0,1010,280,4.4,0.15,N/A
2008,1,2,8,30,0,0,0,-3,0,1010,279,4.5,0.15,N/A
2008,1,2,9,30,0,0,0,-4,0,1010,279,4.6000000000000005,0.15,N/A
