Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1170196,-,-,-,36.89,-76.26,0,4,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,
2008,1,1,0,30,0,0,0,4,6,1020,162,2.7,0.12,N/A
2008,1,1,1,30,0,0,0,4,5,1020,163,3.2,0.12,N/A
2008,1,1,2,30,0,0,0,4,5,1020,164,3.4000000000000004,0.12,N/A
2008,1,1,3,30,0,0,0,4,5,1020,166,3.4000000000000004,0.12,N/A
2008,1,1,4,30,0,0,0,4,5,1010,163,3.3000000000000003,0.12,N/A
2008,1,1,5,30,0,0,0,4,5,1010,159,3.4000000000000004,0.12,N/A
2008,1,1,6,30,0,0,0,4,5,1010,154,3.5,0.12,N/A
2008,1,1,7,30,0,0,0,5,6,1010,153,3.6,0.12,N/A
2008,1,1,8,30,0,0,0,6,6,1010,159,3.6,0.12,N/A
2008,1,1,9,30,0,0,0,6,6,1010,169,3.7,0.12,N/A
2008,1,1,10,30,0,0,0,7,7,1010,181,4,0.12,N/A
2008,1,1,11,30,0,0,0,7,7,1010,193,4.4,0.12,N/A
2008,1,1,12,30,12,138,15,7,7,1010,204,4.6000000000000005,0.12,N/A
2008,1,1,13,30,51,562,159,7,7,1010,214,4.800000000000001,0.12,N/A
2008,1,1,14,30,74,715,312,7,8,1010,232,5,0.12,N/A
2008,1,1,15,30,82,812,435,7,9,1010,253,4.9,0.12,N/A
2008,1,1,16,30,86,853,505,5,10,1010,272,4.6000000000000005,0.12,N/A
2008,1,1,17,30,85,866,517,4,11,1010,282,4.800000000000001,0.12,N/A
2008,1,1,18,30,76,865,470,2,11,1010,285,5.2,0.12,N/A
2008,1,1,19,30,63,835,369,1,10,1010,287,5.4,0.12,N/A
2008,1,1,20,30,48,735,221,0,9,1010,289,5.300000000000001,0.12,N/A
2008,1,1,21,30,23,435,54,0,7,1010,291,5.1000000000000005,0.12,N/A
2008,1,1,22,30,0,0,0,0,6,1010,292,5.300000000000001,0.12,N/A
