Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1131745,-,-,-,37.53,-77.46,0,49,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,
2009,1,1,0,30,0,0,0,-10,-1,1010,324,1.9000000000000001,0.12,N/A
2009,1,1,1,30,0,0,0,-11,-2,1010,327,1.8,0.12,N/A
2009,1,1,2,30,0,0,0,-11,-2,1010,328,1.5,0.12,N/A
2009,1,1,3,30,0,0,0,-11,-3,1010,325,1,0.12,N/A
2009,1,1,4,30,0,0,0,-10,-4,1010,319,0.8,0.12,N/A
2009,1,1,5,30,0,0,0,-10,-5,1010,314,0.8,0.12,N/A
2009,1,1,6,30,0,0,0,-10,-5,1010,311,0.8,0.12,N/A
2009,1,1,7,30,0,0,0,-10,-5,1010,309,0.8,0.12,N/A
2009,1,1,8,30,0,0,0,-10,-5,1020,308,0.8,0.12,N/A
2009,1,1,9,30,0,0,0,-10,-5,1020,311,0.8,0.12,N/A
2009,1,1,10,30,0,0,0,-10,-5,1020,317,0.7000000000000001,0.12,N/A
2009,1,1,11,30,0,0,0,-9,-5,1020,322,0.7000000000000001,0.12,N/A
2009,1,1,12,30,0,0,0,-9,-4,1020,329,1,0.12,N/A
2009,1,1,13,30,42,649,154,-10,-2,1020,337,1.3,0.12,N/A
2009,1,1,14,30,58,829,319,-11,-1,1020,348,1.4000000000000001,0.12,N/A
2009,1,1,15,30,64,916,448,-11,0,1020,354,1.2000000000000002,0.12,N/A
2009,1,1,16,30,68,944,521,-11,0,1020,357,1,0.12,N/A
2009,1,1,17,30,69,943,533,-11,1,1020,359,0.6000000000000001,0.12,N/A
2009,1,1,18,30,65,925,484,-11,2,1020,2,0.30000000000000004,0.12,N/A
2009,1,1,19,30,58,873,379,-11,1,1020,13,0.1,0.12,N/A
2009,1,1,20,30,47,763,231,-10,0,1020,170,0.4,0.12,N/A
2009,1,1,21,30,24,479,64,-8,-1,1020,170,0.8,0.12,N/A
2009,1,1,22,30,0,0,0,-9,-3,1020,170,0.9,0.12,N/A
2009,1,1,23,30,0,0,0,-8,-4,1020,176,0.7000000000000001,0.12,N/A
2009,1,2,0,30,0,0,0,-8,-4,1010,182,0.6000000000000001,0.12,N/A
2009,1,2,1,30,0,0,0,-8,-3,1010,183,0.6000000000000001,0.12,N/A
2009,1,2,2,30,0,0,0,-8,-3,1010,185,0.6000000000000001,0.12,N/A
2009,1,2,3,30,0,0,0,-8,-4,1010,184,0.6000000000000001,0.12,N/A
2009,1,2,4,30,0,0,0,-7,-4,1010,178,0.6000000000000001,0.12,N/A
2009,1,2,5,30,0,0,0,-7,-3,1010,176,0.7000000000000001,0.12,N/A
2009,1,2,6,30,0,0,0,-7,-3,1010,177,0.7000000000000001,0.12,N/A
2009,1,2,7,30,0,0,0,-6,-3,1010,180,0.8,0.12,N/A
2009,1,2,8,30,0,0,0,-6,-3,1010,184,0.8,0.12,N/A
2009,1,2,9,30,0,0,0,-6,-3,1010,189,0.8,0.12,N/A
2009,1,2,10,30,0,0,0,-6,-2,1010,194,0.8,0.12,N/A
2009,1,2,11,30,0,0,0,-5,-2,1010,195,0.9,0.12,N/A
2009,1,2,12,30,0,0,0,-5,-1,1010,197,1,0.12,N/A
2009,1,2,13,30,36,0,36,-5,0,1010,199,1.1,0.12,N/A
2009,1,2,14,30,129,108,163,-3,0,1010,201,1.2000000000000002,0.12,N/A
